marker_id,x,y,z,qx,qy,qz,qw
0,-4.036405891194797,-0.07267978978324119,10.597328882282909,0.0,0.0,0.0,1.0
2,-2.7605115071297397,0.5638002308208657,14.352044759338616,0.0,0.0,0.0,1.0
1,-1.5832641182703813,0.7071149672193313,19.151567448167867,0.0,0.0,0.0,1.0
3,3.603417537636115,0.6994965979216251,10.32559726571102,0.0,0.0,0.0,1.0
12,-18.6249373244229,3.990538632024333,56.362784792136324,0.0,0.0,0.0,1.0
13,26.662517228038034,4.086027949343272,56.19816049063677,0.0,0.0,0.0,1.0
10,-3.941194588741891,1.6798578933059405,30.955168812077705,0.0,0.0,0.0,1.0
14,6.42995687683508,3.5121531245869972,41.75810885080816,0.0,0.0,0.0,1.0
5,0.16000720767025642,1.5188735915645863,23.522983224951556,0.0,0.0,0.0,1.0
9,-17.102997027481983,1.7286847936147056,38.02075309142496,0.0,0.0,0.0,1.0
6,2.120219077915498,1.0978834259234536,17.905523201378475,0.0,0.0,0.0,1.0
7,14.003453330876026,2.04373093997468,30.715838265392474,0.0,0.0,0.0,1.0
36,-9.72295776572163,3.300990088883876,73.33794629424523,0.0,0.0,0.0,1.0
8,-2.5557173398430235,0.7488204865762925,11.101264315360515,0.0,0.0,0.0,1.0
29,24.193738604892598,4.41616430987581,55.08520803660043,0.0,0.0,0.0,1.0
33,6.4936399743413,2.121982366240116,19.704252871172017,0.0,0.0,0.0,1.0
23,-17.340105478927896,4.29590672161249,42.484023636894015,0.0,0.0,0.0,1.0
22,2.717714475549447,1.8926403300034453,21.564386059556888,0.0,0.0,0.0,1.0
30,-14.72925250558845,4.967707877114366,57.163972418401,0.0,0.0,0.0,1.0
21,-2.003335795017466,0.7889212905959613,10.922519271462315,0.0,0.0,0.0,1.0
25,-11.795523998943459,4.831887884309201,58.68685288012524,0.0,0.0,0.0,1.0
26,23.507127819109,4.937879569104279,52.91461097652549,0.0,0.0,0.0,1.0
24,9.359722457286725,1.5364162839859812,28.41295266834112,0.0,0.0,0.0,1.0
28,-16.598759367909814,5.703627334817608,60.28376711855275,0.0,0.0,0.0,1.0
37,-3.7066224731952007,2.898881015908869,26.720283659975742,0.0,0.0,0.0,1.0
27,2.1738478522425537,1.7978970093617281,15.529394140243696,0.0,0.0,0.0,1.0
31,10.126795301309796,4.411627547792147,54.658509442378666,0.0,0.0,0.0,1.0
11,-12.53282480466337,5.102913785716631,67.62306001211871,0.0,0.0,0.0,1.0
32,-0.7414231212527104,2.6153825105170796,32.16208051233798,0.0,0.0,0.0,1.0
15,11.62322846966344,3.2402642597342033,38.2278912874947,0.0,0.0,0.0,1.0
19,13.180706866033937,5.392663988132922,66.17555066742696,0.0,0.0,0.0,1.0
20,11.003090716522292,2.3245539113703764,35.3168308831694,0.0,0.0,0.0,1.0
16,3.899465372066191,1.24723004082502,13.376999221058039,0.0,0.0,0.0,1.0
17,-2.143540830617879,1.594054771520277,12.635048857341113,0.0,0.0,0.0,1.0
18,-2.5981112039933247,1.5189732657211807,13.050887950475614,0.0,0.0,0.0,1.0
4,-3.6842926364279682,0.8786711516818791,10.835592296829006,0.0,0.0,0.0,1.0
35,0.1775211670841264,1.1821278865506986,9.090374767840292,0.0,0.0,0.0,1.0
39,-6.526761655116757,2.2997524588215326,31.531985480333248,0.0,0.0,0.0,1.0
38,-0.14215464765712202,0.8384617098944052,8.694675000771754,0.0,0.0,0.0,1.0
